miles,average_fuel_price,fuel_surcharge,cross_ratio,ltr_start_state,ltr_end_state,team_driver,new_year,holiday,shipment_price
489,2.7880000000000003,114.915,0.997903597,28.58,12.45,1,0,1,15.0
456,2.74,97.88799999999999,1.048566412,9.3,1.92,0,0,1,14.25
479,3.042,132.2838333,0.97749657,8.76,7.98,0,0,1,15.0
601,2.988,158.8643333,0.992841855,10.31,3.79,1,0,1,19.5
447,2.396,71.8925,1.0278710229999999,4.63,0.98,0,0,1,19.0
456,2.714,97.81200000000001,1.048566412,9.3,1.92,0,0,0,14.25
488,2.966,127.124,0.99585658,10.31,3.79,1,0,1,15.0
492,2.396,79.13,1.004019339,4.63,0.98,1,0,1,14.0
456,2.7760000000000002,98.95200000000001,1.048566412,8.09,1.14,0,0,0,14.25
479,2.998,128.0526667,0.97749657,8.13,12.4,0,0,0,14.0
479,2.782,112.00616670000001,0.97749657,9.35,6.54,0,1,1,13.5
488,2.5269999999999997,89.304,0.99585658,5.55,1.35,1,0,0,13.0
479,2.748,103.1446667,0.97749657,9.3,1.92,0,0,1,13.5
464,2.42,76.63733333,1.066962314,4.63,0.98,0,0,0,14.25
295,2.7939999999999996,69.915,1.004577694,28.58,12.45,0,0,0,8.5
488,2.966,127.124,0.995862894,10.31,3.79,1,0,1,14.0
479,2.7119999999999997,101.8673333,0.97749657,9.3,1.92,0,0,0,13.5
454,3.1319999999999997,131.5843333,1.043967437,8.76,7.98,0,0,1,14.25
479,2.459,81.74933333,0.977490373,15.75,8.08,0,0,1,13.5
479,3.1319999999999997,138.83016669999998,0.97749657,8.76,7.98,0,0,1,15.0
553,2.4619999999999997,95.02383333,1.028601838,5.55,1.35,1,0,0,17.5
447,2.966,116.4435,1.0278710229999999,10.31,3.79,0,0,1,13.5
601,2.968,157.26166669999998,0.992841855,10.31,3.79,1,0,1,18.5
601,2.459,102.5706667,0.992841855,15.75,8.08,1,0,1,24.0
488,2.74,104.7573333,0.99585658,9.3,1.92,1,0,1,13.5
479,2.714,102.7455,0.97749657,9.3,1.92,0,0,0,13.5
601,2.7119999999999997,127.81266670000001,0.992841855,9.3,1.92,1,0,1,19.5
602,2.998,160.93466669999998,0.994493838,8.13,12.4,1,0,0,18.0
454,3.042,125.37966670000002,1.043967437,8.76,7.98,0,0,1,11.0
489,3.1630000000000003,144.8255,0.997903597,8.76,7.98,0,0,1,14.0
283,2.8939999999999997,70.37266667,0.9637135170000001,9.41,4.91,0,0,0,10.0
448,2.906,112.52266670000002,1.03017051,9.41,4.91,0,0,0,13.5
454,2.998,121.3693333,1.043967437,8.13,12.4,0,0,0,14.75
294,2.49,52.136,1.001172346,15.75,8.08,0,0,1,10.0
601,2.887,149.8493333,0.992841855,9.35,6.54,1,0,0,19.5
602,2.782,140.76766669999998,0.994493838,9.35,6.54,1,0,1,20.0
294,2.74,63.111999999999995,1.001172346,9.3,1.92,0,0,1,8.5
294,2.782,68.747,1.001172346,9.35,6.54,0,1,1,8.5
447,2.427,73.6805,1.0278710229999999,15.75,8.08,0,0,1,13.5
283,2.929,71.92916667,0.9637135170000001,10.31,3.79,0,0,0,10.0
448,2.8710000000000004,110.208,1.03017051,9.41,4.91,0,0,0,13.5
479,2.764,110.32966670000002,0.97749657,8.17,3.61,0,0,1,13.5
454,3.1319999999999997,131.5843333,1.043967437,8.76,7.98,0,0,1,14.5
602,2.8539999999999996,147.791,0.994493838,9.35,6.54,1,0,1,19.5
492,2.407,79.704,1.004019339,4.63,0.98,1,0,1,14.0
489,2.7939999999999996,115.89299999999999,0.997903597,28.58,12.45,1,0,1,15.0
602,2.938,154.714,0.994493838,8.13,12.4,1,0,1,19.5
447,2.966,116.4435,1.0278710229999999,10.31,3.79,0,0,1,13.5
602,2.938,154.714,0.994493838,8.13,12.4,1,0,1,18.0
447,2.7119999999999997,95.06200000000001,1.0278710229999999,9.3,1.92,0,0,1,13.5
602,2.858,147.69066669999998,0.994493838,9.41,4.91,1,0,0,18.5
479,2.9389999999999996,123.18283329999998,0.97749657,8.13,12.4,0,0,1,15.0
479,3.0610000000000004,133.4015,0.9764169229999999,8.76,7.98,0,0,1,15.0
454,2.9389999999999996,116.75366670000001,1.043967437,8.13,12.4,0,0,1,14.25
601,2.795,141.7358333,0.992841855,8.17,3.61,1,0,1,19.5
479,3.1319999999999997,138.83016669999998,0.977490373,8.76,7.98,0,0,1,15.0
294,2.8710000000000004,72.324,1.001172346,9.41,4.91,0,0,0,10.0
602,2.8710000000000004,148.092,0.994493838,9.41,4.91,1,0,0,19.5
479,2.998,128.0526667,0.97749657,8.13,12.4,0,0,1,14.0
492,2.396,79.13,1.004019339,4.63,0.98,1,0,1,14.0
447,2.887,111.45200000000001,1.0278710229999999,9.35,6.54,0,0,0,14.5
448,3.0610000000000004,124.76799999999999,1.03017051,8.76,7.98,0,0,1,12.0
454,3.028,123.56366670000001,1.043967437,8.13,12.4,0,0,0,14.25
447,2.966,116.4435,1.0278710229999999,10.31,3.79,0,0,1,13.5
294,2.782,68.747,1.001172346,9.35,6.54,0,0,1,9.0
295,2.528,54.32916667,1.004577694,8.09,1.14,0,0,1,8.5
448,2.782,104.7573333,1.03017051,28.58,12.45,0,1,1,13.5
295,2.8539999999999996,72.4225,1.004577694,9.35,6.54,0,0,1,9.0
456,2.795,107.54,1.048566412,8.17,3.61,0,0,1,14.25
448,3.042,123.72266670000002,1.03017051,8.76,7.98,0,0,1,13.5
601,2.929,152.75416669999998,0.992841855,9.35,6.54,1,0,0,19.5
454,3.042,125.37966670000002,1.043967437,8.76,7.98,0,0,1,14.25
479,2.7889999999999997,112.72466670000001,0.97749657,28.58,12.45,0,0,1,13.5
601,2.8939999999999997,149.4486667,0.992841855,9.41,4.91,1,0,0,19.0
602,3.1319999999999997,174.4796667,0.994493838,8.76,7.98,1,0,1,15.0
479,2.9389999999999996,123.18283329999998,0.97749657,8.13,12.4,0,0,1,14.5
295,2.7939999999999996,70.11166667,1.004577694,28.58,12.45,0,0,0,8.5
448,3.0610000000000004,124.76799999999999,1.03017051,8.76,7.98,0,0,1,13.5
488,2.898,122.81333329999998,0.995862894,8.13,12.4,1,0,1,15.0
479,3.028,130.3678333,0.97749657,8.76,7.98,0,0,1,15.0
479,2.748,103.1446667,0.977490373,9.3,1.92,0,0,1,13.5
479,2.782,112.00616670000001,0.977490373,28.58,12.45,0,1,1,15.0
488,2.42,80.60133333,0.99585658,4.63,0.98,1,0,0,13.5
479,2.778,111.8465,0.97749657,28.58,12.45,0,1,1,13.5
479,2.8939999999999997,119.11133329999998,0.97749657,9.41,4.91,0,0,0,15.0
601,2.968,157.26166669999998,0.992841855,10.31,3.79,1,0,0,18.5
456,2.966,118.788,1.048566412,10.31,3.79,0,0,1,15.5
602,2.8710000000000004,148.092,0.994493838,9.41,4.91,1,0,0,18.5
465,2.7939999999999996,110.205,1.069261802,28.58,12.45,0,0,0,14.25
447,2.929,113.6125,1.0278710229999999,9.35,6.54,0,0,0,13.5
295,2.7119999999999997,62.73666667,1.004577694,9.3,1.92,0,0,1,8.5
488,2.396,78.48666667,0.99585658,15.75,8.08,1,0,1,16.0
465,2.795,109.6625,1.069261802,8.17,3.61,0,0,1,17.0
456,2.9389999999999996,116.052,1.048566412,10.31,3.79,0,0,1,17.0
283,2.7880000000000003,66.505,0.9637135170000001,28.58,12.45,0,0,1,8.5
294,2.7889999999999997,69.188,1.001172346,28.58,12.45,0,0,1,8.5
283,2.7880000000000003,66.505,0.9637135170000001,28.58,12.45,0,0,1,8.5
488,2.968,127.69333329999999,0.995862894,10.31,3.79,1,0,0,15.0
465,2.7289999999999996,102.2225,1.069261802,8.17,3.61,0,0,1,14.25
479,2.778,111.8465,0.97749657,28.58,12.45,0,1,1,24.0
447,2.938,114.87899999999999,1.0278710229999999,8.13,12.4,0,0,1,14.0
601,2.9130000000000003,153.05466669999998,0.992841855,9.35,6.54,1,0,0,20.0
488,2.715,105.48933329999998,0.995862894,8.17,3.61,1,0,1,13.5
447,2.5140000000000002,80.5345,1.0278710229999999,5.55,1.35,0,0,0,13.5
447,2.5140000000000002,80.5345,1.0278710229999999,5.55,1.35,0,0,0,13.5
491,2.7939999999999996,116.69433329999998,1.001978649,28.58,12.45,1,0,0,14.0
602,2.8539999999999996,147.791,0.994493838,9.35,6.54,1,0,1,19.5
448,3.1630000000000003,132.68266670000003,1.03017051,8.76,7.98,0,0,1,13.5
454,2.898,114.25666670000001,1.043967437,8.13,12.4,0,0,0,16.0
456,2.968,119.32,1.048566412,10.31,3.79,0,0,0,14.25
454,2.8710000000000004,111.684,1.043967437,9.41,4.91,0,0,0,14.25
601,2.9389999999999996,154.55716669999998,0.992841855,8.13,12.4,1,0,1,18.5
294,2.782,68.747,1.001172346,9.35,6.54,0,0,1,11.5
489,2.8710000000000004,120.294,0.997903597,9.41,4.91,1,0,0,15.0
601,2.715,129.91616670000002,0.992841855,9.3,1.92,1,0,0,19.5
456,2.7939999999999996,108.072,1.048566412,28.58,12.45,0,0,1,16.0
602,2.782,140.76766669999998,0.994493838,9.35,6.54,1,1,1,19.5
488,2.715,105.48933329999998,0.995862894,8.17,3.61,1,0,1,16.5
601,2.9389999999999996,154.55716669999998,0.992841855,8.13,12.4,1,0,1,19.5
488,2.898,122.81333329999998,0.99585658,8.13,12.4,1,0,0,15.0
601,2.988,158.8643333,0.992841855,10.31,3.79,1,0,1,19.78
464,2.519,84.75733333,1.066962314,5.55,1.35,0,0,1,14.25
602,2.8939999999999997,149.6973333,0.994493838,9.41,4.91,1,0,0,20.0
601,2.966,156.5605,0.992841855,10.31,3.79,1,0,1,19.5
601,2.7889999999999997,141.4353333,0.992841855,8.17,3.61,1,0,1,23.0
294,2.8710000000000004,72.324,1.001172346,9.41,4.91,0,0,0,10.0
602,2.858,147.69066669999998,0.994493838,9.41,4.91,1,0,0,23.0
491,2.7889999999999997,115.54866670000001,1.001978649,8.17,3.61,1,0,1,14.0
479,2.7889999999999997,112.72466670000001,0.97749657,8.17,3.61,0,0,1,13.5
448,2.8939999999999997,111.40266670000001,1.03017051,9.41,4.91,0,0,0,11.2
487,2.7289999999999996,107.05883329999999,0.9938221909999999,8.17,3.61,1,0,1,13.5
295,2.8539999999999996,72.4225,1.004577694,9.35,6.54,0,0,1,11.0
448,2.9389999999999996,114.016,1.03017051,9.41,4.91,0,0,0,14.25
